center_lat,center_lon,borough,hotspot_type,score
0.0,0.0,Bronx,Hot Spot,8
0.0,0.0,Brooklyn,Hot Spot,20
0.0,0.0,Manhattan,Hot Spot,10
0.0,0.0,Nan,Hot Spot,23
0.0,0.0,Queens,Hot Spot,8
0.0,0.0,Staten Island,Normal,1
40.506,-74.245,Staten Island,Normal,1
40.51,-74.244,Staten Island,Normal,1
40.511,-74.242,Staten Island,Normal,1
40.512,-74.21,Staten Island,Normal,1
40.512,-74.25,Nan,Normal,1
40.512,-74.25,Staten Island,Normal,1
40.514,-74.206,Staten Island,Normal,1
40.514,-74.242,Staten Island,Normal,1
40.516,-74.197,Staten Island,Normal,1
40.516,-74.233,Staten Island,Normal,1
40.516,-74.234,Staten Island,Normal,1
40.516,-74.244,Staten Island,Normal,1
40.517,-74.241,Staten Island,Normal,1
40.519,-74.24,Staten Island,Normal,1
40.521,-74.198,Staten Island,Normal,1
40.521,-74.205,Staten Island,Normal,1
40.521,-74.239,Staten Island,Normal,1
40.522,-74.235,Staten Island,Hot Spot,2
40.523,-74.216,Staten Island,Normal,1
40.523,-74.239,Staten Island,Normal,1
40.524,-74.187,Staten Island,Normal,1
40.524,-74.214,Nan,Normal,1
40.525,-74.23,Staten Island,Normal,1
40.526,-74.226,Nan,Normal,1
40.527,-74.167,Staten Island,Hot Spot,2
40.528,-74.234,Staten Island,Normal,1
40.529,-74.211,Staten Island,Normal,1
40.529,-74.217,Staten Island,Normal,1
40.532,-74.156,Staten Island,Normal,1
40.532,-74.192,Nan,Normal,1
40.532,-74.203,Staten Island,Hot Spot,2
40.532,-74.224,Nan,Normal,1
40.533,-74.191,Staten Island,Normal,1
40.534,-74.186,Nan,Normal,1
40.535,-74.194,Nan,Normal,1
40.535,-74.194,Staten Island,Normal,1
40.536,-74.208,Staten Island,Normal,1
40.537,-74.159,Staten Island,Normal,1
40.537,-74.212,Staten Island,Normal,1
40.537,-74.225,Staten Island,Normal,1
40.538,-74.15,Staten Island,Hot Spot,2
40.54,-74.149,Staten Island,Normal,1
40.54,-74.153,Staten Island,Normal,1
40.541,-74.159,Staten Island,Normal,1
40.541,-74.177,Nan,Normal,1
40.541,-74.204,Nan,Normal,1
40.542,-74.146,Staten Island,Normal,1
40.542,-74.148,Staten Island,Normal,1
40.542,-74.155,Nan,Normal,1
40.542,-74.177,Staten Island,Normal,1
40.542,-74.184,Staten Island,Normal,1
40.543,-74.147,Staten Island,Normal,1
40.543,-74.151,Staten Island,Normal,1
40.543,-74.156,Staten Island,Hot Spot,2
40.543,-74.174,Nan,Normal,1
40.544,-74.165,Staten Island,Normal,1
40.544,-74.192,Nan,Normal,1
40.545,-74.166,Staten Island,Normal,1
40.545,-74.183,Staten Island,Normal,1
40.546,-74.159,Staten Island,Normal,1
40.546,-74.164,Staten Island,Normal,1
40.546,-74.165,Staten Island,Normal,1
